question-id,item,construct,encoding
Q1,I found myself getting upset by quite trivial things,S,1
Q2,I was aware of dryness of my mouth,A,1
Q3,I couldn't seem to experience any positive feeling at all,D,1
Q4,"I experienced breathing difficulty (eg, excessively rapid breathing, breathlessness in the absence of physical exertion)",A,1
Q5,I just couldn't seem to get going,D,1
Q6,I tended to over-react to situations,S,1
Q7,"I had a feeling of shakiness (eg, legs going to give way)",A,1
Q8,I found it difficult to relax,S,1
Q9,I found myself in situations that made me so anxious I was most relieved when they ended,A,1
Q10,I felt that I had nothing to look forward to,D,1
Q11,I found myself getting upset rather easily,S,1
Q12,I felt that I was using a lot of nervous energy,S,1
Q13,I felt sad and depressed,D,1
Q14,"I found myself getting impatient when I was delayed in any way (eg, elevators, traffic lights, being kept waiting)",S,1
Q15,I had a feeling of faintness,A,1
Q16,I felt that I had lost interest in just about everything,D,1
Q17,I felt I wasn't worth much as a person,D,1
Q18,I felt that I was rather touchy,S,1
Q19,"I perspired noticeably (eg, hands sweaty) in the absence of high temperatures or physical exertion",A,1
Q20,I felt scared without any good reason,A,1
Q21,I felt that life wasn't worthwhile,D,1
Q22,I found it hard to wind down,S,1
Q23,I had difficulty in swallowing,A,1
Q24,I couldn't seem to get any enjoyment out of the things I did,D,1
Q25,"I was aware of the action of my heart in the absence of physical exertion (eg, sense of heart rate increase, heart missing a beat)",A,1
Q26,I felt down-hearted and blue,D,1
Q27,I felt down-hearted and blue,S,1
Q28,I felt I was close to panic,A,1
Q29,I found it hard to calm down after something upset me,S,1
Q30,"I feared that I would be ""thrown"" by some trivial but unfamiliar task",A,1
Q31,I was unable to become enthusiastic about anything,D,1
Q32,I found it difficult to tolerate interruptions to what I was doing,S,1
Q33,I was in a state of nervous tension,S,1
Q34,I felt I was pretty worthless,D,1
Q35,I was intolerant of anything that kept me from getting on with what I was doing,S,1
Q36,I felt terrified,A,1
Q37,I could see nothing in the future to be hopeful about,D,1
Q38,I felt that life was meaningless,D,1
Q39,I found myself getting agitated,S,1
Q40,I was worried about situations in which I might panic and make a fool of myself,A,1
Q41,"I experienced trembling (eg, in the hands)",A,1
Q42,I found it difficult to work up the initiative to do things,D,1
